feature,importance
 Borrowing dependency,0.05295966337428065
 Persistent EPS in the Last Four Seasons,0.05125136709362971
 Continuous interest rate (after tax),0.04652656203430584
 Retained Earnings to Total Assets,0.04231476337427535
 Net worth/Assets,0.04150857877035674
 Equity to Liability,0.0401636989263268
 Debt ratio %,0.039812429186071724
 Net Income to Total Assets,0.0356331676013511
 Total income/Total expense,0.035272278128155636
 Liability to Equity,0.03122285263262286
 Net profit before tax/Paid-in capital,0.02944613371431645
 ROA(B) before interest and depreciation after tax,0.024300906218260816
 Net Income to Stockholder's Equity,0.023757528929151523
 After-tax net Interest Rate,0.02030701712701162
 Per Share Net profit before tax (Yuan ¥),0.019987238731294755
 Pre-tax net Interest Rate,0.019618722682734464
 Degree of Financial Leverage (DFL),0.019466751088175766
 Interest Expense Ratio,0.018960139019405572
 Non-industry income and expenditure/revenue,0.01878218642430014
 ROA(C) before interest and depreciation before interest,0.018542614331178115
